Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C7",0603,4,C_0.1uF,C0603C104Z4VACTU
"C10, C11",0603,2,C_10uF_10V,GRM188D71A106KA73D
C3,0603,1,C_10nF,CL10B103KB8NNNC
C5,0603,1,C_1uF,CL10B105KA8NNNC
C6,0603,1,C_4.7uF,GRT188R61E475ME13D
"C8, C9",0603,2,C_30pF,CML0603C0G300JT50V
"D1, D2, D3, D4, D5, D6",0805,6,D_Red_LED,LTST-C171KRKT
"F1, F2",1206,2,F_500mA_8V,0ZCJ0050FF2G
J1,J_PCIe_x1_Key,1,J_PCIe_x1,2-1761465-1
J2,J_Programming_Pin_Header_Keyed,1,J_Programming_Pin_Header,
R1,0603,1,R_120,RC0603FR-13120RL
"R2, R3, R4, R5, R6, R7",0603,6,R_1k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
"TP1, TP2, TP3, TP4, TP5, TP6",TP_Hook_SMD,6,TP_SMD,5019
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E_SN,MCP2561-E/SN
U2,LQFP-32_7x7mm_P0.8mm,1,STM32G441KBT6,
Y1,FA238160000MBC0 (X_16MHz_18pF_SMD - FA-238_16.0000MB-C0),1,X_16MHz_18pF,FA-238 16.0000MB-C0
