Designator,Mid X,Mid Y,Rotation,Layer
C1,259.925,-30.9,90.0,top
C10,263.925,-37.4,0.0,top
C11,269.425,-37.4,0.0,top
C2,256.755,-37.59,180.0,top
C3,253.425,-38.4,180.0,top
C4,247.175,-27.175,90.0,top
C5,253.425,-39.9,180.0,top
C6,245.425,-27.175,90.0,top
C7,245.425,-37.575,270.0,top
C8,242.45,-35.675,180.0,top
C9,242.5,-28.4,0.0,top
D1,260.0,-39.25,0.0,top
D2,226.75,-39.5,270.0,top
D3,259.75,-25.5,90.0,top
D4,241.75,-39.75,0.0,top
D5,237.25,-37.5,90.0,top
D6,235.75,-23.39,180.0,top
F1,264.525,-39.4,0.0,top
F2,269.425,-39.4,0.0,top
H1,225.3785,-28.884,90.0,top
J2,234.92,-29.31,0.0,top
R1,268.925,-30.9,90.0,top
R2,259.75,-37.5,0.0,top
R3,228.5,-39.25,270.0,top
R4,258.0,-25.75,90.0,top
R5,247.25,-39.25,270.0,top
R6,235.25,-35.75,270.0,top
R7,233.0,-23.25,90.0,top
TP1,269.675,-22.75,0.0,top
TP2,259.515,-35.23,0.0,top
TP3,231.975,-36.41,0.0,top
TP4,264.5,-19.75,0.0,top
TP5,264.5,-23.75,0.0,top
TP6,229.25,-24.5,0.0,top
U1,264.425,-30.9,270.0,top
U2,251.825,-32.4,270.0,top
Y1,242.425,-32.075,90.0,top
