Designator,Mid X,Mid Y,Rotation,Layer
H1,60.218649,-89.088499,90.0,top
H2,359.7215,-94.725,270.0,top
J2,227.5,-120.0,0.0,top
J3,347.0,-120.0,0.0,top
J4,248.2,-86.43,270.0,top
J5,269.571,-95.751,90.0,top
J6,301.5,-120.0,0.0,top
TP1,109.11,-121.99,0.0,top
TP10,159.11,-112.99,0.0,top
TP11,149.11,-112.99,0.0,top
TP12,139.11,-112.99,0.0,top
TP13,129.11,-112.99,0.0,top
TP14,119.11,-112.99,0.0,top
TP15,109.11,-112.99,0.0,top
TP16,179.11,-121.99,0.0,top
TP2,119.11,-121.99,0.0,top
TP3,129.11,-121.99,0.0,top
TP4,139.11,-121.99,0.0,top
TP5,149.11,-121.99,0.0,top
TP6,159.11,-121.99,0.0,top
TP7,169.11,-121.99,0.0,top
TP8,179.11,-112.99,0.0,top
TP9,169.11,-112.99,0.0,top
TPG1,189.11,-112.99,0.0,top
