Designator,Mid X,Mid Y,Rotation,Layer
F1,152.04,-56.8,180.0,top
F10,194.66,-56.8,180.0,top
F11,279.9,-56.8,180.0,top
F12,365.14,-56.8,180.0,top
F13,130.73,-56.8,180.0,top
F14,215.97,-56.8,180.0,top
F15,301.21,-56.8,180.0,top
F16,372.5625,-56.4,180.0,top
F18,55.1625,-57.2,0.0,top
F2,237.28,-56.8,180.0,top
F3,322.52,-56.8,180.0,top
F4,66.925,-57.6,180.0,top
F5,87.8625,-57.5,180.0,top
F6,173.35,-56.8,180.0,top
F7,258.59,-56.8,180.0,top
F8,343.83,-56.8,180.0,top
F9,109.42,-56.8,180.0,top
J1,298.8988,-25.2128,180.0,bottom
J2,104.61,-25.475,180.0,bottom
J20,393.8,-46.7,180.0,bottom
J23,38.7,-46.7,180.0,bottom
J3,344.2876,-25.3144,180.0,bottom
J4,224.774,-25.2128,180.0,bottom
J6,270.21,-25.475,180.0,bottom
TH1,56.38,-105.975877,0.0,bottom
TH10,142.0,-159.754877,0.0,bottom
TH11,162.635,-92.533555,0.0,bottom
TH12,162.635,-146.381555,0.0,bottom
TH13,184.065,-105.896877,0.0,bottom
TH14,184.065,-159.754877,0.0,bottom
TH15,205.435,-92.533555,0.0,bottom
TH16,205.435,-146.381555,0.0,bottom
TH17,226.455,-106.208,0.0,bottom
TH18,229.58,-159.952339,90.0,bottom
TH19,248.375,-92.437555,0.0,bottom
TH2,56.405,-159.675877,0.0,bottom
TH20,248.375,-146.477555,0.0,bottom
TH21,269.995,-105.896877,0.0,bottom
TH22,269.995,-159.754877,0.0,bottom
TH23,290.835,-92.533555,0.0,bottom
TH24,290.835,-146.381555,0.0,bottom
TH25,312.135,-105.896877,0.0,bottom
TH26,312.135,-159.754877,0.0,bottom
TH27,333.565,-92.533555,0.0,bottom
TH28,333.565,-146.381555,0.0,bottom
TH29,354.235,-105.896877,0.0,bottom
TH3,77.925,-92.533555,0.0,bottom
TH30,354.235,-159.754877,0.0,bottom
TH31,375.833838,-92.825661,0.0,bottom
TH32,375.885,-147.14318,0.0,bottom
TH4,77.925,-146.381555,0.0,bottom
TH5,98.805,-105.896877,0.0,bottom
TH6,98.805,-159.754877,0.0,bottom
TH7,119.915,-92.533555,0.0,bottom
TH8,119.915,-146.381555,0.0,bottom
TH9,142.0,-105.896877,0.0,bottom
U1,224.193089,-159.846006,0.0,bottom
