Designator,Mid X,Mid Y,Rotation,Layer
C1,160.344288,-56.861157,180.0,top
C10,163.637569,-113.101889,0.0,top
C11,170.16,-106.98,90.0,top
C12,196.351164,-114.37037,270.0,top
C13,185.034057,-111.185935,180.0,top
C14,196.568799,-107.289503,90.0,top
C15,175.443576,-117.480087,180.0,top
C16,198.044651,-110.678175,270.0,top
C17,164.526991,-122.558622,180.0,top
C2,170.977907,-76.811793,0.0,top
C3,170.987322,-75.248872,0.0,top
C4,174.905186,-75.405461,90.0,top
C5,163.604426,-102.135366,0.0,top
C6,181.14378,-117.386638,0.0,top
C7,202.00744,-63.396741,90.0,top
C8,195.552148,-63.487929,90.0,top
C9,169.384069,-59.706753,90.0,top
D1,154.675,-116.31,270.0,top
D10,193.117756,-67.584817,270.0,top
D11,173.44,-105.77,180.0,top
D12,183.977891,-105.919693,0.0,top
D13,200.801089,-115.101184,0.0,top
D2,204.639349,-109.469709,90.0,top
D3,207.819349,-112.842209,270.0,top
D4,156.985,-117.3975,90.0,top
D5,158.8625,-109.98,180.0,top
D6,159.8825,-106.6,0.0,top
D7,175.388455,-80.887046,90.0,top
D8,181.978788,-59.136614,90.0,top
D9,180.993353,-78.925669,0.0,top
F1,177.781629,-47.126903,0.0,top
F2,198.344414,-75.956799,0.0,top
J2,181.91,-39.555,0.0,top
J4,141.04998,-56.502112,0.0,top
K1,137.46,-114.03,180.0,top
K2,213.623929,-101.985732,90.0,top
K3,153.541901,-89.593526,90.0,top
L1,184.035728,-69.472194,0.0,top
Q1,155.805,-121.1,270.0,top
Q2,165.615,-106.66,0.0,top
R1,155.535,-124.66,0.0,top
R10,154.8225,-106.66,0.0,top
R11,163.6325,-109.94,0.0,top
R12,168.68,-106.94,90.0,top
R13,139.778882,-63.892891,180.0,top
R14,141.204703,-67.525836,90.0,top
R15,150.690638,-63.840684,180.0,top
R16,152.160279,-60.146044,90.0,top
R17,152.131624,-69.883874,180.0,top
R18,152.173932,-66.593649,180.0,top
R19,155.757201,-65.17143,270.0,top
R2,154.455,-112.22,270.0,top
R20,155.847866,-60.161603,90.0,top
R21,171.949626,-79.121331,180.0,top
R22,170.988956,-73.722704,0.0,top
R23,193.651991,-63.515467,90.0,top
R24,195.522351,-67.338693,270.0,top
R25,198.326015,-71.278512,180.0,top
R26,169.042643,-83.070698,180.0,top
R27,200.561089,-117.876184,0.0,top
R28,167.285353,-72.228553,90.0,top
R29,157.84262,-64.499119,90.0,top
R3,98.900739,-114.275909,0.0,top
R30,187.440251,-105.743854,180.0,top
R31,173.2,-107.83,0.0,top
R32,187.431708,-108.029363,180.0,top
R33,160.726049,-63.155273,0.0,top
R34,164.549022,-124.453271,180.0,top
R35,189.216565,-110.012046,180.0,top
R36,167.188009,-103.944313,180.0,top
R4,89.614048,-76.762878,270.0,top
R5,205.189349,-106.512209,0.0,top
R6,210.38,-46.615,0.0,top
R7,204.769349,-113.612209,270.0,top
R8,158.895,-119.31,270.0,top
R9,118.785455,-76.511095,270.0,top
U1,186.947684,-114.297363,270.0,top
U10,195.063149,-110.874919,180.0,top
U2,159.799193,-60.014516,90.0,top
U3,170.960324,-69.051822,0.0,top
U4,167.778161,-93.986558,270.0,top
U5,193.769185,-107.076462,270.0,top
U6,193.36787,-114.458983,180.0,top
U7,181.613127,-114.465824,0.0,top
U8,163.219176,-116.635459,0.0,top
U9,175.403015,-115.592147,0.0,top
