Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C15, C16, C5, C6",0603,7,0.1 µF,
C11,0603,1,C_2.2uF_25V,CL10B105KA8NNNC
"C12, C13",0603,2,C_0.1uF,CL10B104KB8NNWC
C17,0603,1,C_10nF,CL10B104KB8NNWC
C2,0603,1,C_2.2uF,GRM188R61E225KA12J
C3,0603,1,C_470pF,0603B471K500CT
C4,0603,1,C_.22uF,CL10A224KB8NNNC
C7,CP_Radial_D8.0mm_P3.50mm,1,100uF+,ESK107M050AG3EA
C8,0603,1,C_1uF,CL10B105KA8NNNC
C9,CP_Radial_D10.0mm_P5.00mm,1,10uF+,450BXC10MEFC10X20
"D1, D3, D6",D_SOD-123,3,SS110LW,SS110LW
"D10, D13, D2, D4, D5",0805,5,LED_WHITE,B1701TW--20P000314U1930
D11,D_SOD-123,1,1N4148W,
D12,0805,1,BSPD_TRIP_LED,
"D7, D9",D_SMA,2,STTH1R06AF,STTH1R06AF
D8,D_SOD-128,1,STTH1R06AF,STTH1R06AF
F1,F_21mA_420V,1,F_21mA_420V,B59884C0120A054
F2,Fuse_1210,1,F_500mA_16V,0ZCH0050FF2G
J2,Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal,1,Conn_01x03_Pin,
J3,pcie_x1,1,CONN_pcie_x1,
J4,Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical,1,Conn_01x03_Pin,
"K1, K3",K_Relay_DPST_NO_10A_12V_TH,2,G2RG-2A-X_DC12,G2RG-2A-X DC12
K2,Relay_Comus_3350,1,3350-4275-126,3350-4275-126
L1,L_1.2mH,1,L_1.2mH,RCP1317NP-122L
"Q1, Q2",SOT-23F,2,SSM3K333R,"SSM3K333R,LF"
R1,R_0603,1,10KR,RMCF0603FT10K0
"R10, R2",0603,2,12R,RC0603FR-0712RL
"R11, R7, R8",R_0603,3,1KR,RMCF0603FT1K00
R12,R_0603,1,270kR,RMCF0603FT10K0
"R13, R14, R17, R18",1206,4,2.2 MΩ,
"R15, R19",1206,2,330 kΩ,
R16,1206,1,36 kΩ,
R20,1206,1,25 kΩ,
R21,0603,1,R_71.5K,RMCF0603FT71K5
R22,0603,1,R_6.04K,RMCF0603FT6K04
R23,0603,1,R_3K,RC0603FR-103KL
"R24, R27, R30",0603,3,R_1K,RMCF0603FT1K00
R25,0603,1,R_0_2512,CR2512-J/-000ELF
R26,0603,1,330Ω,
"R28, R32, R33, R36",0603,4,R_10K,RMCF0603FT10K0
R29,0603,1,R_4.7M,RMCF0603FT10K0
"R3, R4",R_TO247-Heatsink,2,560R-100W,AP101560RJ
R31,0603,1,R_71.5k,RMCF0603FT100K
"R34, R35",0603,2,100 kΩ,
R5,R_0603,1,12R,RC0603FR-0712RL
R6,R_TO247-Heatsink,1,3KR-100W,AP1013KJ
R9,R_TO247-Heatsink,1,120R-100W,AP101560RJ
"U1, U6",SOT-23-5,2,U_GATE_SN74LVC1G02DBVR,SN74LVC1G02DBVR
"U10, U7, U8",SOT-23-5,3,SN74LVC1G08DBVR,SN74LVC1G08DBVR
U2,SOT-23-5,1,LM397,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MP9488,MP9488GS-Z
U4,ACNT-H50L-500E,1,ACNT-H50L-500E,ACNT-H50L-000E
"U5, U9",SOT-553,2,74LVC1GU04DRL,
