Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C21, C22",0603,5,C_0.1uF_16V,C0603C104Z4VACTU
"C10, C11, C12, C13, C6, C9",C_0603,6,C_0.1uF,478-3352-1-ND
"C14, C15",0603,2,C_30pF_50V,CML0603C0G300JT50V
C18,0603,1,C_4.7uF_25V,GRT188R61E475ME13D
C19,0603,1,C_10nF_50V,CL10B103KB8NNNC
C20,0603,1,C_1uF_25V,CL10B105KA8NNNC
"C7, C8",C_0603,2,C_10nF,1276-1015-1-ND
CANH,TP_Hook_SMD,1,CANH1,5019
CANL,TP_Hook_SMD,1,CANL1,5019
D1,CHIPLED_0805,1,LED_AMBER,
D2,CHIPLED_0805,1,LED_GREEN,
D3,CHIPLED_0805,1,LED_RED,
D5,DO-214AA,1,D_Zener_18V_SMBJ5355B-TP,SMBJ5355B-TP
D6,CHIPLED_0805,1,LED_BLUE,LTST-C171TBKT
J1,PinHeader_2x03_P2.54mm_Vertical,1,isoSPI Header,
J3,MicroFit_RA_2,1,MicroFit_RA_2,WM1865-ND
J4,J_Programming_Pin_Header_Keyed,1,J_Programming_Pin_Header,
J5,J_PCIe_x1_Key,1,J_PCIe_x1,2-1761465-1
K1,Relay_SPST_OMRON-G5Q-1A4_OEM,1,Relay_G5Q-1A4-DC5,G5Q-1A4 DC5
Q1,SOT-23F,1,SSM3K333R,SSM3K333RLFCT-ND
"R1, R21, R23, R3",R_0603,4,1KR,RMCF0603FT1K00
"R10, R11",R_0603,2,R_60.4,P60.4DACT-ND
"R12, R15, R16, R19, R7",R_0603,5,R_10K,CRS0805-FX-1002ELFCT-ND
R17,R_0603,1,R_1M,RMCF0805JT1M00CT-ND
"R18, R8, R9",R_0603,3,R_1K,RNCP0805FTD1K00CT-ND
R2,0603,1,R_5.1k,CR0603AFX-5101EAS
R20,R_0603,1,R_576,RMCF0603FT576R
R24,R_0603,1,R_10K,RMCF0805JT1M00CT-ND
R25,R_0603,1,R_10K,RNCP0805FTD1K00CT-ND
R4,0603,1,R_10k,RMCF0603FT10K0
R5,0603,1,R_120,RC0603FR-13120RL
T1,HM2112ZNLT,1,HM2112ZNLT,HM2112ZNLT
"U1, U4, U5, U6, U8",SOT-353_SC-70-5,5,MCP6001,MCP6001T-I/OT
U10,LQFP-32_7x7mm_P0.8mm,1,STM32G441KBT6,
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E_SN,MCP2561-E/SN
U3,MSOP-16_3x4mm_P0.5mm,1,LTC6820HMS,LTC6820HMS#TRPBFCT-ND
U7,SOT-23-5_OEM,1,SN74LVC1G32DBVR,296-9847-1-ND
Y3,FA238160000MBC0 (X_16MHz_18pF_SMD - FA-238_16.0000MB-C0),1,X_16MHz_18pF,FA-238 16.0000MB-C0
