Designator,Mid X,Mid Y,Rotation,Layer
C1,185.24,-102.23,180.0,top
C10,160.323006,-103.3365,180.0,top
C11,168.821,-102.91235,180.0,top
C12,164.085,-107.0162,0.0,top
C13,175.6523,-107.0551,0.0,top
C14,144.171,-112.24,270.0,top
C15,136.671,-112.24,90.0,top
C16,144.921,-98.24,0.0,top
C17,134.396,-106.74,0.0,top
C18,135.896,-108.74,0.0,top
C19,147.171,-100.74,90.0,top
C20,147.171,-104.74,270.0,top
C21,136.171,-99.74,180.0,top
C22,150.896,-97.24,0.0,top
C6,127.869031,-99.1378,180.0,top
C7,125.506831,-98.2996,90.0,top
C8,123.106231,-98.8838,0.0,top
C9,181.95,-102.54,180.0,top
CANH,160.16,-110.76,90.0,top
CANL,155.16,-110.76,90.0,top
D1,136.056019,-92.196528,270.0,top
D2,131.256545,-92.196528,270.0,top
D3,126.381949,-92.196528,270.0,top
D5,161.8532,-95.1754,270.0,top
D6,149.671,-92.74,270.0,top
H2,87.2523,-106.765,90.0,top
J1,128.155,-110.22,0.0,top
J3,91.0418,-96.674,90.0,top
J4,142.710999,-92.735,270.0,top
K1,174.7056,-95.0484,0.0,top
Q1,157.6708,-92.7472,180.0,top
R1,137.671,-92.24,90.0,top
R10,123.131631,-97.3344,0.0,top
R11,123.106231,-100.4586,180.0,top
R12,185.3709,-107.0845,0.0,top
R15,179.59,-104.72,90.0,top
R16,177.8745,-104.7296,270.0,top
R17,157.285006,-105.7495,90.0,top
R18,155.303806,-105.7495,270.0,top
R19,171.3386,-105.29515,90.0,top
R2,148.5,-111.5,180.0,top
R20,168.821,-107.68755,180.0,top
R21,128.164759,-92.196528,90.0,top
R23,151.265885,-92.565,90.0,top
R24,173.021,-106.965,90.0,top
R25,173.021,-103.89,90.0,top
R3,132.8755,-92.196528,90.0,top
R4,146.675,-109.5,0.0,top
R5,150.63,-106.3,180.0,top
R7,154.6568,-92.7472,90.0,top
R8,123.855831,-103.9892,90.0,top
R9,122.281031,-102.7954,90.0,top
T1,106.2968,-102.2018,270.0,top
U1,185.19,-104.67,270.0,top
U10,141.171,-104.24,0.0,top
U11,150.671,-101.74,180.0,top
U3,127.826208,-102.2634,90.0,top
U4,182.0,-104.78,180.0,top
U5,159.996,-105.7495,180.0,top
U6,168.845999,-105.29515,180.0,top
U7,164.085,-104.4698,0.0,top
U8,175.446,-104.865,180.0,top
Y3,140.571,-111.94,180.0,top
