Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C16, C17, C21, C4, C5",0603,8,C_0.1uF,CL10B104KB8NNWC
"C10, C23",0603,2,C_0.1uF_50V,CL10B104KB8NNWC
"C11, C12",1206,2,C_22uF_25V,CL31A226KAHNNNE
"C14, C2",0603,2,C_1uF,UMK107BJ105KA-T
C18,0603,1,C_4.7uF,GRT188R61E475ME13D
"C19, C20",0603,2,C_30pF,CML0603C0G300JT50V
C22,0603,1,C_1uF_50V,UMK107BJ105KA-T
C3,0603,1,C_1uF,CL10B105KA8NNNC
C6,0603,1,C_10nF,CL10B103KB8NNNC
"C7, C8",0603,2,C_30pF_50V,CML0603C0G300JT50V
C9,0603,1,C_10uF_10V,GRM188D71A106KA73D
"D1, D2",0805,2,WHITE,QBLP631-IW
"D10, D11, D6, D7, D8, D9",0805,6,LED,QBLP631-IW
D15,D_Zener_18V_5W_DO214AA - DIOM5336X262N,1,D_Zener_18V_5W,SMBJ5355B-TP
D16,0805,1,Fully Charged Status,LTST-C170KGKT
D17,0805,1,SPI Status,QBLP631-IW
D3,0805,1,on/off,LTST-C171KRKT
D4,0805,1,Charging Status, LTST-C171AKT 
D5,0805,1,CAN Status,LTST-C171TBKT
"F1, F2, F3, F4",1210,4,F_500mA_16V,0ZCH0050FF2G
"J10, J5, J9",J_Molex_Header_01x02_VT - 43045-02YY_121314,3,J_Molex_Header_01x02_VT,43045-0212
J2,PinSocket_1x20_P2.54mm_Vertical,1,Conn_01x20_Socket,
J4,PinHeader_1x02_P2.54mm_Vertical,1,CONN_01x02,732-5315-ND
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J7,J_Programming_Pin_Header_Keyed,1,J_Programming_Pin_Header,
J8,J_Molex_Header_02x03_VT - 43045-06YY_121314,1,J_Molex_Header_02x03_VT,43045-0614
L1,IND_BOURNS_SRR5018 (L_3.9uH_2A_55m_SMD),1,L_3.9uH_2A,SRR5018-3R9Y
"Q2, Q3",SOT-23-3,2,"SSM3K333R,LF",
R1,0603,1,R_120,RC0603FR-13120RL
"R10, R4, R9",0603,3,R_330,RMCF0603FT330R (or WR06X3300FTL)
R11,0603,1,R_0,RMCF0603ZT0R00
"R12, R13",0603,2,R_500,541-3305-1-ND
R14,0603,1,R_120,667-ERJ-6ENF1200V
"R15, R16, R17, R19, R2, R20, R21, R22, R23, R24, R25, R3, R8",0603,13,R_1k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
R5,0603,1,R_2.2k,WR06X222 JTL
R6,0603,1,R_1.91k,RMCF0603FT1K91
R7,0603,1,R_1.43k,RMCF0603FT1K43
"TP1, TP3, TP5, TP6, TP8, TP9",TP_Hook_SMD,6,TP_SMD,5019
TP10,TP_Hook_SMD,1,Test_Point_SMD,5019
"TP11, TP2, TP4",TP_Hook_SMD,3,TP,5019
U1,SOT-23-5,1,TLV70450DBVR,TLV70450DBVR
U2,SOT-23-6,1,AP63203WU-7,AP63203WU-7
U4,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP25625-E/SS,MCP25625-E/SS-ND
U6,LQFP-48_7x7mm_P0.5mm,1,STM32G441CBT6,STM32G441CBT6
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E_SN,MCP2561-E/SN
"Y1, Y3",FA238160000MBC0 (X_16MHz_18pF_SMD - FA-238_16.0000MB-C0),2,X_16MHz_18pF,FA-238 16.0000MB-C0
