Designator,Mid X,Mid Y,Rotation,Layer
C1,133.225,-82.39,180.0,top
C10,100.75,-92.107,90.0,top
C11,108.06,-85.61,270.0,top
C12,110.36,-85.61,270.0,top
C13,103.43,-67.74,90.0,top
C14,101.97,-67.74,270.0,top
C15,112.31,-70.16,180.0,top
C16,115.19,-61.78,270.0,top
C17,114.34,-59.57,0.0,top
C18,114.52,-68.91,90.0,top
C19,106.53,-56.73,90.0,top
C2,120.5825,-90.68,0.0,top
C20,113.59,-56.73,270.0,top
C21,141.225,-83.39,0.0,top
C22,100.51,-64.775,90.0,top
C23,101.97,-64.78,90.0,top
C3,120.5825,-85.68,0.0,top
C4,128.37,-94.0,270.0,top
C5,129.475,-82.39,180.0,top
C6,103.43,-64.78,90.0,top
C7,133.36,-98.05,0.0,top
C8,136.89,-94.92,270.0,top
C9,106.82,-94.1574,90.0,top
D1,146.835,-76.875,90.0,top
D10,104.0,-77.52,90.0,top
D11,120.06,-56.71,90.0,top
D15,123.82,-95.08,90.0,top
D16,150.06,-56.67,90.0,top
D17,138.06,-56.69,90.0,top
D2,149.835,-76.895,90.0,top
D3,126.06,-56.75,90.0,top
D4,144.06,-56.69,90.0,top
D5,132.06,-56.71,90.0,top
D6,116.543,-95.05,90.0,top
D7,116.543,-77.59,90.0,top
D8,138.06,-69.21,270.0,top
D9,144.06,-69.19,270.0,top
F1,109.0,-77.54,90.0,top
F2,104.98,-101.06,90.0,top
F3,120.6325,-101.06,90.0,top
F4,120.6125,-82.22,90.0,top
H1,101.25,-58.4375,0.0,top
H2,160.385954,-121.45718,0.0,top
H3,101.25,-121.4375,0.0,top
H4,160.386334,-58.4535,0.0,top
J10,149.538,-117.285,0.0,top
J2,163.57,-89.17,0.0,top
J4,137.345,-101.43,270.0,top
J5,128.738,-117.325,0.0,top
J6,156.02,-63.02,0.0,top
J7,121.73,-68.42,270.0,top
J8,115.098,-117.265,0.0,top
J9,139.04125,-117.3,0.0,top
L1,102.06,-85.61,90.0,top
Q2,151.61,-92.15,0.0,top
Q3,151.0975,-96.05,270.0,top
R10,148.21,-91.85,270.0,top
R11,120.6125,-77.54,270.0,top
R12,136.095,-81.12,270.0,top
R13,137.555,-81.12,270.0,top
R14,131.345,-101.43,180.0,top
R15,105.68,-77.52,90.0,top
R16,121.74,-56.71,270.0,top
R17,133.74,-56.71,90.0,top
R19,118.223,-77.59,90.0,top
R2,118.223,-95.07,90.0,top
R20,127.74,-56.75,270.0,top
R21,139.74,-56.67,90.0,top
R22,139.74,-69.21,90.0,top
R23,145.74,-56.69,90.0,top
R24,98.65,-64.26,270.0,top
R25,145.74,-69.19,90.0,top
R3,151.74,-56.67,90.0,top
R4,152.59,-76.845,270.0,top
R5,154.14,-76.845,90.0,top
R6,148.51,-96.525,90.0,top
R7,149.735,-90.05,90.0,top
R8,148.51,-99.65,270.0,top
R9,148.96,-94.15,0.0,top
TP1,114.225,-107.18,90.0,top
TP10,120.225,-107.18,90.0,top
TP11,102.225,-107.18,90.0,top
TP2,156.225,-107.18,90.0,top
TP3,144.225,-107.18,90.0,top
TP4,108.225,-107.18,90.0,top
TP5,150.225,-107.18,90.0,top
TP6,132.225,-107.18,90.0,top
TP8,126.225,-107.18,90.0,top
TP9,138.225,-107.18,90.0,top
U1,120.5825,-88.18,0.0,top
U2,103.82,-94.1574,270.0,top
U4,132.725,-87.82,0.0,top
U6,109.31,-64.28,180.0,top
U9,141.225,-87.82,180.0,top
Y1,133.36,-94.92,180.0,top
Y3,110.06,-56.73,0.0,top
