Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,C_10uF_10V,GRM188D71A106KA73D
"C10, C2, C4, C6",0603,4,C_0.1uF_16V,C0603C104Z4VACTU
C11,0603,1,C_10nF_50V,CL10B103KB8NNNC
"C12, C3",1206,2,C_22uF_25V,CL31A226KAHNNNE
C13,C_0603,1,0u1F,CL10B104KB8NNWC
C5,0603,1,C_1uF_25V,CL10B105KA8NNNC
"C7, C8",0603,2,30pF,CML0603C0G300JT50V
C9,0603,1,C_4.7uF_25V,GRM188R71E474KA12D
D1,0805,1,LED,
"D10, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",0805,14,LED,LTST-C171KRKT
"D11, D19, D20",LED_0805_OEM,3,LED,
DASHBOARD_PCIE1,pcie_x_delete_asap,1,pcie_x1,2-1761465-1
"F1, F2",1210,2,Fuse,
"J1, J2, J4, J6, J9",wire_terminal_delete_asap,5,TWO_WIRE_SCREW_TERMINAL,
J3,pcie_x_delete_asap,1,J_PCIe_x1,2-1761465-1
J5,J_Programming_Pin_Header_Keyed,1,J_Programming_Pin_Header,
J7,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L_3.9UH1,IND_BOURNS_SRR5018 (L_3.9uH_2A_55m_SMD),1,L,
"R1, R11, R12, R15, R17, R18, R2, R20, R21, R3, R4, R5, R6, R7, R8, R9",0603,16,R_1k_0.1W,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
R10,R_0603,1,R_120,RC0603FR-13120RL
R16,0603,1,R_120k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
R19,0603,1,R_5k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
"R22, R25",0603,2,R__5k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
"R23, R24",0603,2,R_10k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
R26,0603,1,R_120,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
S1,SW_DS01C254L03BE,1,DS01C-254-L-03BE,
"TP1, TP2, TP3, TP4",test_point_delete_asap,4,TestPoint,
"TP5, TP6, TP7, TP8, TP9",TP_Hook_SMD,5,TP_SMD,5019
U1,SOT-23-6,1,AP63203WU-7,AP63203WU-7
U2,LQFP-32_7x7mm_P0.8mm,1,Roadkill_MCU,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E-SN,
Y1,FA238160000MBC0 (X_16MHz_18pF_SMD - FA-238_16.0000MB-C0),1,Crystal_16MHz_18pF,7M-16.000MAAJ-T
