Designator,Mid X,Mid Y,Rotation,Layer
C1,137.82,-104.64,90.0,top
C10,122.94,-86.5,90.0,top
C11,117.4,-74.725,0.0,top
C12,141.5175,-100.09,270.0,top
C13,109.775,-84.775,0.0,top
C2,132.2375,-103.73,90.0,top
C3,138.2275,-100.115,270.0,top
C4,113.375,-76.6,180.0,top
C5,117.45,-73.2,0.0,top
C6,114.45,-86.275,90.0,top
C7,126.5,-76.9,0.0,top
C8,127.27,-84.36,180.0,top
C9,124.75,-85.08,270.0,top
D1,58.0,-94.0,180.0,top
D10,113.5,-103.625,0.0,top
D11,47.65,-112.825,0.0,top
D12,54.7375,-120.225,180.0,top
D13,113.575,-99.6,0.0,top
D14,47.925,-105.275,0.0,top
D15,54.5375,-126.75,180.0,top
D16,54.4375,-123.525,180.0,top
D19,47.75,-110.475,0.0,top
D2,42.2125,-142.0,0.0,top
D20,47.725,-107.75,0.0,top
D3,42.25,-139.35,0.0,top
D4,42.2875,-136.775,0.0,top
D5,113.4,-90.825,0.0,top
D6,113.5375,-96.775,0.0,top
D7,113.475,-93.825,0.0,top
D8,42.3125,-134.15,0.0,top
D9,54.525,-129.475,180.0,top
DASHBOARD_PCIE1,82.94,-133.0,0.0,top
F1,134.9475,-110.17,90.0,top
F2,139.2275,-93.715,90.0,top
J1,104.925,-138.2,270.0,top
J2,39.975,-75.125,90.0,top
J3,69.35,-80.28,180.0,top
J4,40.025,-87.575,90.0,top
J5,93.845,-100.825,0.0,top
J6,37.46,-97.57,90.0,top
J7,108.6,-126.64,0.0,top
J8,91.11,-81.895,0.0,top
J9,137.54,-121.13,90.0,top
L_3.9UH1,133.2275,-98.3624,90.0,top
R1,54.0,-94.0,0.0,top
R10,100.95,-80.74,90.0,top
R11,51.2375,-120.45,0.0,top
R12,51.6,-112.95,0.0,top
R15,51.625,-105.5,0.0,top
R16,103.45,-128.275,90.0,top
R17,117.1,-103.9,0.0,top
R18,117.225,-99.8,0.0,top
R19,51.605,-110.6,0.0,top
R2,46.0875,-141.925,180.0,top
R20,51.025,-126.95,0.0,top
R21,51.0125,-123.725,0.0,top
R22,125.25,-73.3,90.0,top
R23,127.55,-75.175,180.0,top
R24,122.4,-73.525,90.0,top
R25,119.95,-73.825,90.0,top
R26,51.65,-107.875,0.0,top
R3,46.0875,-139.15,180.0,top
R4,46.0625,-136.575,180.0,top
R5,117.25,-96.95,0.0,top
R6,116.875,-91.025,0.0,top
R7,51.025,-129.675,0.0,top
R8,117.15,-94.0,0.0,top
R9,46.0875,-133.95,180.0,top
S1,67.0,-110.0,90.0,top
TP5,115.81,-124.63,0.0,top
TP6,115.81,-128.63,0.0,top
TP7,125.73,-119.25,0.0,top
TP8,139.67,-88.43,0.0,top
TP9,125.72,-123.19,0.0,top
U1,134.9975,-105.2,270.0,top
U2,118.77,-80.745,90.0,top
U4,108.015,-81.095,90.0,top
Y1,126.46,-80.64,90.0,top
