Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C17, C19, C20, C21, C23, C24, C27, C28, C29, C3, C5, C7, C9",0603,16,C_0.1uF,C0603C104Z4VACTU
"C10, C8",0603,2,C_30pF,CML0603C0G300JT50V
"C11, C26",0603,2,C_0.1uF_16V,C0603C104Z4VACTU
"C12, C13, C16",0603,3,C_10uF_10V,GRM188D71A106KA73D
"C18, C4",0603,2,C_1uF,CL10B105KA8NNNC
C2,0603,1,C_10nF,CL10B103KB8NNNC
C22,0603,1,C_0.22uF_50V,~
C25,0603,1,C_1uF_25V,CL10B105KA8NNNC
C6,0603,1,C_4.7uF,GRT188R61E475ME13D
D1,0805,1,MOTOR_ON, LTST-C171AKT 
D10,0805,1,D_Amber_LED, LTST-C171AKT 
D11,D_SOD-123,1,D_36V_500mW,BZT52C36-7-F
D12,0805,1,BSPD_TRIP_LED, LTST-C171AKT 
"D13, D14",0805,2,D_Blue_LED,LTST-C171TBKT
D2,0805,1,BRAKES, LTST-C171AKT 
D3,0805,1,BSPD_TRIP,LTST-C171KRKT
D4,0805,1,HEARTBEAT,QBLP631-IW
D5,0805,1,THROTTLE_DISABLE,QBLP631-IW
D6,0805,1,5V,QBLP631-IW
D7,0805,1,3V3,QBLP631-IW
D8,0805,1,NRST,LTST-C170KGKT
D9,0805,1,SWDIO,LTST-C170KGKT
"F1, F2",1206,2,F_500mA_8V,0ZCJ0050FF2G
J1,J_Programming_Pin_Header_Keyed,1,J_Programming_Pin_Header,
J2,J_PCIe_x1_Key,1,J_PCIe_x1,2-1761465-1
K1,G5Q1A4DC5 (K_SPST-NO_10A_5V_TH - G5Q-1A4-DC5),1,K_10A_5V,G5Q-1A4 DC5
"Q1, Q2",SOT-23-3,2,"SSM3K333R,LF","SSM3K333R,LF"
"Q3, Q4, Q5",SOT-23-3,3,"SSM3K333R,LF",
"R1, R12, R2, R3, R4, R5, R7, R8, R9",0603,9,R_200,WR06X2000FTL
R10,0603,1,R_120,RC0603FR-13120RL
"R11, R13, R15, R17, R22, R23, R24, R26, R28, R32, R34, R35, R36, R39, R42",0603,15,R_10k,RMCF0603FT10K0
"R14, R16",0603,2,R_5.1k,CR0603AFX-5101EAS
"R18, R19, R25, R38, R41",0603,5,R_100k,RMCF0603FT100K
"R20, R27, R33, R6",0603,4,R_1k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
R21,0603,1,R_71.5k,RMCF0603FT71K5
R29,0603,1,R_75k,RMCF0603FT75K0
R30,0603,1,R_576,RMCF0603FT576R
R31,0603,1,R_100,RMCF0603FT100R
"R37, R40",0603,2,R_3k,RC0603FR-103KL
"R43, R46",0603,2,R_1M,WR06X1004FTL
"R44, R47",0603,2,R_0,RMCF0603ZT0R00
"R45, R48",0603,2,R_2.2k,WR06X222 JTL
TP1,TP_Hook_SMD,1,5V,5019
"TP10, TP11, TP12, TP13, TP4, TP5, TP6, TP7, TP8, TP9",TP_Hook_SMD,10,TP_SMD,5019
TP2,TP_Hook_SMD,1,3V3,5019
TP3,TP_Hook_SMD,1,GND,5019
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G441CBT6,STM32G441CBT6
U10,SOT-23-5,1,SN74LVC1G32DBVR,SN74LVC1G32DBVR
"U11, U12, U3, U5, U8, U9",SOT-353_SC-70-5,6,MCP6001T-I/LT,MCP6001T-I/LT
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E_SN,MCP2561-E/SN
U4,SOT-23-5,1,SN74LVC1G08DBVR,SN74LVC1G08DBVR
"U6, U7",SOT-23-5,2,SN74LVC1G02DBVR,SN74LVC1G02DBVR
Y1,FA238160000MBC0 (X_16MHz_18pF_SMD - FA-238_16.0000MB-C0),1,X_16MHz_18pF,FA-238 16.0000MB-C0
