Designator,Mid X,Mid Y,Rotation,Layer
3V3,142.08,-90.91,270.0,top
5V,139.92,-97.34,270.0,top
C1,123.510002,-91.689995,0.0,top
C10,117.47,-97.4,0.0,top
C11,129.15,-97.39,180.0,top
C2,122.38,-75.28,90.0,top
C3,118.359999,-88.78,135.0,top
C4,128.95,-78.44,0.0,top
C5,119.389998,-87.71,135.0,top
C6,116.699999,-84.525,90.0,top
C7,118.21,-84.515,90.0,top
C8,129.39,-87.31,45.0,top
C9,129.439999,-75.285,270.0,top
D1,128.58,-93.49,180.0,top
D2,128.61,-91.48,180.0,top
F1,118.11,-99.72,0.0,top
F2,128.52,-99.71,180.0,top
H1,129.5,-70.7375,0.0,top
J2,136.775,-86.39,0.0,top
R1,142.07,-87.65,90.0,top
R3,131.739999,-93.48,0.0,top
R4,131.769999,-91.46,0.0,top
R5,139.93,-94.17,90.0,top
TP3V3,136.55,-76.110001,180.0,top
TP5V,136.55,-80.11,180.0,top
TPCAN+,136.26,-97.35,0.0,top
TPCAN-,136.26,-93.91,180.0,top
TPGND,119.4,-74.48,270.0,top
U2,124.16,-82.92,180.0,top
U3,123.525,-96.12,180.0,top
Y1,125.91,-75.31,0.0,top
