Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 5V, D2",0805,3,LED_WHITE,QBLP631-IW
C1,0603,1,C_0.1uF_16V,C0603C104Z4VACTU
"C10, C11",0603,2,C_10uF_10V,GRM188D71A106KA73D
"C2, C9",0603,2,C_30pF_50V,CML0603C0G300JT50V
C3,0603,1,C_4.7uF_25V,GRT188R61E475ME13D
"C4, C5, C8",0603,3,C_0.1uF_50V,CL10B104KB8NNWC
C6,0603,1,C_1uF_50V,UMK107BJ105KA-T
C7,0603,1,C_10nF_50V,CL10B103KB8NNNC
D1,0805,1,LED_AMBER,QBLP631-IW
"F1, F2",1210,2,F_500mA_16V,0ZCH0050FF2G
J1,J_PCIe_x1_Key,1,J_PCIe_x1,2-1761465-1
J2,J_Programming_Pin_Header_Keyed,1,J_Programming_Pin_Header,
"R1, R3, R4, R5",0603,4,R_1k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
R2,0603,1,R_120,RC0603FR-13120RL
"TP3V3, TP5V, TPCAN+, TPCAN-, TPGND",TP_Hook_SMD,5,TP_SMD,5019
U2,LQFP-32_7x7mm_P0.8mm,1,STM32G441KBT6,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E_SN,MCP2561-E/SN
Y1,FA238160000MBC0 (X_16MHz_18pF_SMD - FA-238_16.0000MB-C0),1,X_16MHz_18pF,FA-238 16.0000MB-C0
