Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,C_4.7uF_25V,GRT188R61E475ME13D
C10,0603,1,C_10nF_50V,CL10B103KB8NNNC
"C11, C2, C5, C7",0603,4,C_0.1uF_16V,C0603C104Z4VACTU
"C3, C6",0603,2,C_30pF_50V,CML0603C0G300JT50V
C4,0603,1,C_1uF_50V,UMK107BJ105KA-T
"C8, C9",0603,2,C_10uF_10V,GRM188D71A106KA73D
"D1, D2, D3, D4",0805,4,D_Blue_LED,LTST-C171TBKT
"F1, F3",1206,2,F_500mA_8V,0ZCJ0050FF2G
J2,J_PCIe_x1_Key,1,J_PCIe_x1,2-1761465-1
J3,J_Programming_Pin_Header_Keyed,1,J_Programming_Pin_Header,
"R1, R2",0603,2,R_2.2k_0.1W,WR06X222 JTL
R3,0603,1,R_120,RC0603FR-13120RL
"R4, R5, R6, R7",0603,4,R_1k,RMCF0603FT1K00 (or ERJ-3GEYJ102V)
"TP1, TP2, TP3, TP4, TP5",TP_Hook_SMD,5,TP_SMD,5019
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G441KBT6,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E_SN,MCP2561-E/SN
Y1,FA238160000MBC0 (X_16MHz_18pF_SMD - FA-238_16.0000MB-C0),1,X_16MHz_18pF,FA-238 16.0000MB-C0
