Designator,Mid X,Mid Y,Rotation,Layer
C1,99.0,-84.0,180.0,top
C10,112.0,-76.225,270.0,top
C11,111.0,-72.0,0.0,top
C2,99.365,-72.2755,180.0,top
C3,108.5745,-85.0,270.0,top
C4,114.0,-76.225,270.0,top
C5,99.0,-82.0,180.0,top
C6,101.35,-84.8,90.0,top
C7,108.0,-64.775,270.0,top
C8,99.0,-56.0,90.0,top
C9,110.5,-58.0,270.0,top
D1,113.0,-81.0,0.0,top
D2,115.0,-71.0,0.0,top
D3,115.0,-66.5,0.0,top
D4,115.0,-62.0,180.0,top
F1,111.0,-54.0,90.0,top
F3,101.0,-59.0,0.0,top
H2,105.0,-96.0465,180.0,top
J3,100.36,-66.7755,0.0,top
R1,98.0,-79.6005,90.0,top
R2,96.0,-79.6005,90.0,top
R4,115.0,-69.0,0.0,top
R5,113.0,-79.0,0.0,top
R6,115.0625,-64.0,0.0,top
R7,110.873586,-62.173636,270.0,top
TP1,96.0,-59.0,90.0,top
TP2,114.0,-52.0,90.0,top
TP3,114.0,-58.0,90.0,top
TP4,103.3,-51.9,90.0,top
TP5,98.5,-51.9,90.0,top
U1,105.865,-76.7755,0.0,top
U2,106.905,-59.0,0.0,top
Y1,105.0,-84.5,0.0,top
